"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"  6146 Adamkrafft (3262 T-2)",2.314,0.2644,3.40,42.91,253.42,1.702,2.93,3.52,17669,0,2561,,,13.76,5.205,,0.285,6.964,,,,,Sq,
"  6192 Javiergorosabel (1990 KB1)",2.292,0.2662,10.33,122.22,169.13,1.682,2.90,3.47,16609,0,3277,,,12.91,6.455,,0.353,78.85,,,,,S,
"  6211 Tsubame (1991 DO)",2.755,0.0941,8.54,335.75,248.15,2.496,3.01,4.57,15922,0,3249,,,13.26,5.752,,0.444,2.69802,,,,,Sr,
"  6230 Fram (1984 SG1)",2.782,0.0828,3.27,287.00,94.51,2.551,3.01,4.64,13614,0,2453,,,13.48,12.834,,0.047,,,,,,C,
"  6233 Kimura (1986 CG)",2.797,0.1754,6.78,266.73,206.68,2.306,3.29,4.68,25673,0,1765,,,13.94,9.886,,0.066,7.09778,,,,,Ch,
"  6283 (1980 VX1)",2.794,0.2034,7.31,359.33,84.94,2.225,3.36,4.67,25208,0,1815,,,13.76,10.995,,0.056,,,,,,Ch,
"  6354 Vangelis (1934 GA)",2.656,0.2167,24.55,68.28,77.86,2.080,3.23,4.33,31939,0,2984,,,12.38,7.641,,0.399,4.039,,,,,Cb,
"  6364 Casarini (1981 ET)",2.75,0.2487,9.67,358.72,319.53,2.066,3.43,4.56,24702,0,3233,,,12.14,10.536,,0.277,,,,,,S,
"  6410 Fujiwara (1992 WO4)",2.773,0.2247,8.68,76.48,250.16,2.150,3.40,4.62,16283,0,2828,,,12.77,14.822,,0.082,7.0073,,,,,Ch,
"  6509 Giovannipratesi (1983 CQ3)",2.791,0.2381,6.39,288.14,103.52,2.126,3.46,4.66,24685,0,2573,,,12.78,15.004,,0.072,14.115,,,,,Ch,
"  6582 Flagsymphony (1981 VS)",2.776,0.2885,8.91,206.40,205.05,1.975,3.58,4.63,24816,0,2718,,,12.90,19.311,,0.030,113.3,,,,,Ch,
"  6592 Goya (1986 TB12)",2.756,0.1611,4.22,329.43,88.22,2.312,3.20,4.58,12733,0,2546,,,13.34,5.548,,0.330,,,,,,Sq,
"  6669 Obi (1994 JA1)",2.201,0.2139,6.22,49.45,255.00,1.730,2.67,3.27,26346,0,2749,,,13.21,6.170,,0.321,,,,,,S,
"  6704 (1988 CJ)",2.759,0.0402,3.14,266.85,314.99,2.648,2.87,4.58,24830,0,2715,,,13.05,10.212,,0.116,,,,,,K,
"  6716 (1990 RO1)",2.789,0.0593,4.65,162.14,261.16,2.624,2.95,4.66,16397,0,2678,,,13.24,15.985,,0.052,28.1578,,,,,C,
"  6782 (1990 SU10)",2.788,0.0623,3.29,288.20,126.73,2.615,2.96,4.66,14547,0,2724,,,13.08,15.057,,0.047,,,,,,Cb,
"  6906 Johnmills (1990 WC)",2.741,0.2712,10.44,68.10,346.69,1.998,3.48,4.54,17870,0,1811,,,13.22,11.211,,0.089,,,,,,C,
"  6907 Harryford (1990 WE)",2.745,0.1941,9.06,90.83,3.54,2.212,3.28,4.55,14118,0,2503,,,12.94,12.137,,0.100,,,,,,C,
"  6908 Kunimoto (1990 WB3)",2.751,0.0934,5.60,74.24,312.21,2.494,3.01,4.56,11353,0,2826,,,13.23,6.443,,0.388,,,,,,S,
"  7056 Kierkegaard (1989 SE2)",2.812,0.0487,5.25,75.78,166.28,2.675,2.95,4.72,11734,0,2875,,,12.91,7.582,,0.233,,,,,,Sq,
"  7081 Ludibunda (1987 QF7)",2.747,0.2389,6.71,230.68,131.90,2.090,3.40,4.55,24727,0,2848,,,12.94,10.145,,0.143,2.885,,,,,K,
"  7110 Johnpearse (1983 XH1)",2.797,0.2073,7.66,173.22,268.89,2.217,3.38,4.68,15827,0,2693,,,12.92,14.345,,0.071,,,,,,Ch,
"  7170 Livesey (1987 MK)",2.698,0.1830,12.48,330.57,29.50,2.204,3.19,4.43,15675,0,2985,,,12.70,9.688,,0.188,7.55049,,,,,S,
"  7211 Xerxes (1240 T-1)",2.801,0.1614,9.10,1.66,339.78,2.349,3.25,4.69,18555,0,2757,,,13.21,6.393,,0.299,13.5718,,,,,S,
"  7224 Vesnina (1982 TK3)",2.774,0.1334,8.86,319.64,76.06,2.404,3.14,4.62,14092,0,2087,,,13.74,,,,,,,,,Sq,
"  7225 Huntress (1983 BH)",2.34,0.2034,6.86,275.66,204.27,1.864,2.82,3.58,22354,0,2797,,,13.24,6.680,,0.165,2.43995,,,,,S,
"  7245 (1991 RN10)",2.767,0.1147,5.70,3.27,6.23,2.449,3.08,4.6,17360,0,3099,,,12.73,8.078,,0.271,,,,,,L,
"  7397 (1986 QS)",2.783,0.1654,8.67,348.44,60.27,2.323,3.24,4.64,25715,0,2726,,,12.94,7.155,,0.414,2.864,,,,,S,
"  7402 (1987 YH)",2.779,0.2038,8.23,150.89,292.76,2.213,3.35,4.63,23859,0,2782,,,13.23,13.164,,0.037,,,,,,Ch,
"  7404 (1988 AA5)",2.795,0.2836,6.56,192.41,209.84,2.002,3.59,4.67,25695,0,2137,,,13.78,10.747,,0.059,,,,,,Cb,
"  7405 (1988 FF)",2.77,0.1690,9.13,82.21,170.45,2.302,3.24,4.61,15556,0,2479,,,13.11,14.360,,0.065,,,,,,Ch,
"  7451 Verbitskaya (1978 PU2)",2.807,0.1704,10.31,147.01,197.73,2.329,3.29,4.7,25582,0,2761,,,12.54,7.563,,0.297,,,,,,S,
"  7512 Monicalazzarin (1983 CA1)",2.783,0.1563,7.47,337.26,180.93,2.348,3.22,4.64,24292,0,2315,,,13.30,13.734,,0.053,,,,,,Ch,
"  7562 Kagiroino-Oka (1986 WO9)",2.768,0.0234,3.29,194.22,263.35,2.703,2.83,4.6,12696,0,3231,,,13.01,6.885,,0.283,,,,,,Ld,
"  7564 Gokumenon (1988 CA)",2.764,0.2043,10.87,157.06,350.50,2.200,3.33,4.6,24879,0,2822,,,12.86,8.533,,0.221,30.58,,,,,S,
"  7728 Giblin (1977 AW2)",2.796,0.1102,3.40,346.05,6.25,2.488,3.10,4.68,18682,0,2702,,,12.79,6.495,,0.419,11.8,,,,,Sq,
"  7763 Crabeels (1990 UT5)",2.742,0.0710,4.81,110.79,182.10,2.547,2.94,4.54,26341,0,3044,,,13.09,7.797,,0.220,,,,,,L,
"  7817 Zibiturtle (1988 RH10)",2.783,0.0451,0.56,120.24,175.81,2.657,2.91,4.64,12169,0,2586,,,13.40,12.246,,0.058,,,,,,C,
"  8008 (1988 TQ4)",2.781,0.0791,1.35,128.17,257.80,2.561,3.00,4.64,17257,0,2857,,,13.29,12.656,,0.076,12.2,,,,,C,
"  8333 Medina (1982 VF)",2.738,0.1065,8.66,11.76,311.17,2.447,3.03,4.53,14162,0,2754,,,12.96,,,,,,,,,Sq,
