"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"   210 Isabella (A879 VA)",2.72,0.1242,5.26,32.57,14.65,2.383,3.06,4.49,49942,0,3450,,,9.46,86.65,,0.0436,6.672,,0.667,0.248,,Cb,CF
"   211 Isolda (A879 XA)",3.051,0.1571,3.87,263.45,173.00,2.571,3.53,5.33,51816,0,3392,,,8.04,141.125,,0.062,18.365,,0.711,0.364,,Ch,C
"   213 Lilaea (A880 DA)",2.754,0.1444,6.80,122.03,162.39,2.356,3.15,4.57,51805,0,3666,,,8.96,82.096,,0.092,12.042,,0.650,0.221,,B,F
"   214 Aschera (A880 DB)",2.611,0.0302,3.44,341.93,135.47,2.532,2.69,4.22,51812,0,3594,,,9.28,24.957,,1.000,6.835,,0.700,0.217,,Xc,E
"   216 Kleopatra (A880 GB)",2.793,0.2514,13.12,215.34,179.89,2.091,3.50,4.67,51691,0,4220,1,0,7.06,122,276x94x78,0.1164,5.385,,0.713,0.238,,Xe,M
"   221 Eos (A882 BA)",3.01,0.1023,10.89,141.73,192.33,2.702,3.32,5.22,49745,0,3367,,,7.80,95.469,,0.166,10.443,,0.768,0.410,,K,S
"   226 Weringia (A882 OA)",2.711,0.2042,15.97,134.94,153.90,2.157,3.26,4.46,50894,0,3797,,,9.96,31.494,,0.352,11.147,,,,,S,
"   228 Agathe (A882 QA)",2.202,0.2419,2.54,313.29,19.12,1.669,2.73,3.27,47222,0,3385,,,12.31,9.30,,0.2082,6.484,,0.918,0.596,,S,S
"   230 Athamantis (A882 RA)",2.382,0.0621,9.45,239.83,139.69,2.234,2.53,3.68,50825,0,2809,,,7.38,111.332,,0.164,24.0055,,0.871,0.440,,Sl,S
"   233 Asterope (A883 JA)",2.66,0.0996,7.69,221.95,126.36,2.395,2.93,4.34,45469,0,3466,,,8.38,99.672,,0.094,19.7,,0.775,0.321,,K,T
"   234 Barbara (A883 PA)",2.386,0.2451,15.38,144.50,192.29,1.801,2.97,3.69,50511,0,5176,,,9.09,45.476,,0.205,26.4744,,0.897,0.488,,Ld,S
"   236 Honoria (A884 HA)",2.799,0.1912,7.70,185.80,174.32,2.264,3.33,4.68,50272,0,3431,,,8.29,77.708,,0.156,12.336,,0.852,0.444,,L,S
"   237 Coelestina (A884 MA)",2.762,0.0710,9.75,84.23,200.56,2.566,2.96,4.59,50094,0,4693,,,9.17,41.08,,0.2108,29.215,,0.787,0.413,,S,S
"   238 Hypatia (A884 NA)",2.905,0.0904,12.42,183.87,210.57,2.643,3.17,4.95,47413,0,3605,,,8.10,155.659,,0.039,8.8749,,0.739,0.383,,Ch,C
"   240 Vanadis (A884 QB)",2.664,0.2083,2.11,115.07,300.93,2.109,3.22,4.35,50196,0,3768,,,9.21,87.928,,0.031,10.64,,0.705,0.368,,C,C
"   241 Germania (A884 RA)",3.047,0.1038,5.51,270.33,80.58,2.731,3.36,5.32,49957,0,3282,,,7.77,168.90,,0.0575,15.51,,0.689,0.289,,B,CP
"   242 Kriemhild (A884 SA)",2.862,0.1219,11.35,206.89,279.12,2.513,3.21,4.84,50038,0,3702,,,9.37,40.802,,0.222,4.5478,,,,,Xc,
"   243 Ida (A884 SB)",2.862,0.0438,1.13,323.63,113.94,2.737,2.99,4.84,50031,0,4642,,,9.93,32,59.8x25.4x18.6,0.262,4.634,0.00275,0.802,0.416,,S,S
"   244 Sita (A884 TA)",2.174,0.1375,2.85,208.95,166.34,1.875,2.47,3.21,49941,0,3659,,,12.05,11.077,,0.256,129.51,,,,,Sa,
"   245 Vera (A885 CA)",3.098,0.1972,5.18,61.05,331.68,2.487,3.71,5.45,49979,0,3244,,,7.83,75.949,,0.228,14.38,,0.841,0.476,,S,S
"   246 Asporina (A885 EA)",2.695,0.1090,15.62,162.28,96.19,2.401,2.99,4.42,49982,0,3735,,,8.48,50.891,,0.193,16.222,,0.990,0.602,,A,A
"   247 Eukrate (A885 EB)",2.741,0.2457,24.96,0.05,55.33,2.067,3.41,4.54,49987,0,2479,,,8.25,130.935,,0.064,12.093,,0.691,0.295,,Xc,CP
"   250 Bettina (A885 RA)",3.145,0.1358,12.82,23.81,75.87,2.718,3.57,5.58,49802,0,2694,,,7.49,120.995,,0.112,5.0545,,0.728,0.262,,Xk,M
"   253 Mathilde (A885 VA)",2.648,0.2635,6.74,179.53,157.82,1.950,3.35,4.31,49737,0,4841,1,0,10.39,52.8,,0.0436,417.7,0.00689,,,,Cb,
"   257 Silesia (A886 GB)",3.118,0.1119,3.61,34.06,31.65,2.769,3.47,5.51,49587,0,3805,,,9.48,72.66,,0.0545,15.7095,,0.761,0.384,,Ch,SCTU
"   258 Tyche (A886 JA)",2.614,0.2049,14.33,207.54,155.67,2.078,3.15,4.23,49426,0,3558,,,8.34,64.78,,0.1676,10.041,,0.876,0.459,,S,S
"   259 Aletheia (A886 MA)",3.131,0.1299,10.81,86.79,166.89,2.724,3.54,5.54,45044,0,3173,,,7.90,174.318,,0.043,8.143,,0.698,0.311,,X,CP
"   261 Prymno (A886 UA)",2.331,0.0896,3.63,96.59,66.78,2.123,2.54,3.56,38183,0,3596,,,9.50,50.011,,0.137,8.002,,0.700,0.299,,X,B
"   263 Dresda (A886 VB)",2.885,0.0785,1.32,216.14,162.71,2.659,3.11,4.9,45245,0,4004,,,10.29,23.952,,0.198,16.809,,,,,S,
"   264 Libussa (A886 YA)",2.8,0.1368,10.42,49.53,339.95,2.417,3.18,4.68,47002,0,3113,,,8.35,62.969,,0.187,9.2276,,0.840,0.419,,S,S
"   266 Aline (A887 KA)",2.806,0.1541,13.40,235.83,151.78,2.374,3.24,4.7,47764,0,3333,,,8.81,109.494,,0.027,13.018,,0.707,0.336,,Ch,C
"   267 Tirza (A887 KB)",2.775,0.0992,6.00,73.73,197.11,2.500,3.05,4.62,41637,0,3764,,,10.28,55.998,,0.051,7.648,,,,,D,DU
"   269 Justitia (A887 SA)",2.616,0.2129,5.48,156.71,119.73,2.059,3.17,4.23,48195,0,3942,,,9.74,50.728,,0.061,33.128,,,,,Ld,
"   272 Antonia (A888 CA)",2.778,0.0287,4.43,37.31,68.88,2.698,2.86,4.63,37748,0,3575,,,10.69,26.870,,0.128,3.8548,,,,,X,
"   275 Sapientia (A888 GB)",2.771,0.1635,4.76,134.04,39.46,2.318,3.22,4.61,47491,0,3752,,,8.91,103,,0.049,14.931,,0.723,0.324,,C,X
"   278 Paulina (A888 KA)",2.759,0.1317,7.81,61.92,140.52,2.396,3.12,4.58,47881,0,3798,,,9.41,32.773,,0.247,6.497,,,,,S,
"   279 Thule (A888 UA)",4.265,0.0437,2.33,71.88,26.66,4.079,4.45,8.81,47877,0,3925,,,8.53,126.59,,0.0412,23.896,,0.746,0.232,,X,D
"   281 Lucretia (A888 UC)",2.188,0.1316,5.30,31.34,16.78,1.900,2.48,3.24,48117,0,3717,,,11.90,11.036,,0.226,4.348,,0.918,0.530,,S,SU
"   282 Clorinde (A889 BA)",2.339,0.0812,9.04,144.88,296.87,2.149,2.53,3.58,45031,0,3532,,,11.03,39.03,,0.0502,49.352,,0.628,0.274,,B,BFU::
"   284 Amalia (A889 KA)",2.359,0.2217,8.05,233.69,58.01,1.836,2.88,3.62,46906,0,3839,,,10.23,52.95,,0.0602,8.545,,0.698,0.380,,Ch,CX
"   286 Iclea (A889 PB)",3.192,0.0243,17.94,148.93,209.61,3.114,3.27,5.7,45252,0,3801,,,9.08,94.30,,0.0508,15.365,,0.690,0.328,,Ch,CX
"   288 Glauke (A890 DA)",2.759,0.2058,4.34,120.11,84.55,2.192,3.33,4.58,47618,0,3868,,,9.81,28.981,,0.175,1170,,0.845,0.407,,S,S
"   289 Nenetta (A890 EA)",2.877,0.2016,6.68,181.93,190.55,2.297,3.46,4.88,43622,0,3860,,,9.55,37.586,,0.889,6.902,,1.047,0.655,,A,A
"   295 Theresia (A890 QA)",2.797,0.1675,2.70,275.90,148.21,2.329,3.27,4.68,44744,0,3342,,,9.97,28.340,,0.171,10.702,,0.862,0.501,,S,S
"   301 Bavaria (A890 WA)",2.725,0.0666,4.90,142.30,124.01,2.543,2.91,4.5,47846,0,3944,,,10.37,53.042,,0.057,12.253,,,,,C,
"   304 Olga (A891 CB)",2.404,0.2216,15.85,159.02,172.46,1.871,2.94,3.73,47797,0,3608,,,9.92,65.990,,0.047,18.36,,0.708,0.249,,Xc,C
"   306 Unitas (A891 EA)",2.358,0.1507,7.28,141.86,168.05,2.003,2.71,3.62,47807,0,3558,,,8.82,47.200,,0.201,8.736,,0.864,0.453,,S,S
"   308 Polyxo (A891 FA)",2.749,0.0395,4.36,181.60,112.42,2.640,2.86,4.56,47761,0,4457,,,8.14,128.578,,0.047,12.029,,0.783,0.379,,T,T
"   310 Margarita (A891 KA)",2.76,0.1164,3.17,229.05,325.09,2.439,3.08,4.59,39816,0,3842,,,10.16,33.708,,0.115,12.07,,,,,S,
"   312 Pierretta (A891 QA)",2.781,0.1605,9.04,6.20,262.32,2.335,3.23,4.64,47617,0,3475,,,8.81,46.191,,0.230,10.282,,0.843,0.429,,Sk,S
"   317 Roxane (A891 RD)",2.286,0.0852,1.77,151.34,187.15,2.092,2.48,3.46,47624,0,3861,,,9.80,18.648,,0.926,8.169,,0.694,0.238,,Xe,E
"   321 Florentina (A891 TC)",2.884,0.0472,2.59,40.21,35.33,2.748,3.02,4.9,46975,0,3693,,,10.12,27.974,,0.425,2.871,,0.792,0.410,,S,S
"   322 Phaeo (A891 WB)",2.782,0.2448,8.05,252.32,114.69,2.101,3.46,4.64,47522,0,3231,,,9.11,69.855,,0.089,17.5845,,0.719,0.230,,X,X
"   327 Columbia (A892 FE)",2.776,0.0610,7.14,354.75,307.88,2.607,2.95,4.63,47423,0,4583,,,10.04,30.291,,0.214,5.932,,,,,Sl,
"   331 Etheridgea (A892 GA)",3.026,0.0961,6.04,21.86,333.78,2.735,3.32,5.26,47399,0,4002,,,9.78,74.92,,0.0447,25.315,,0.698,0.298,,C,CX
"   332 Siri (A892 FH)",2.773,0.0883,2.85,31.54,297.91,2.528,3.02,4.62,47434,0,3932,,,9.72,40.37,,0.1719,8.0074,,,,,Xk,
"   335 Roberta (A892 RB)",2.475,0.1727,5.10,148.42,139.83,2.047,2.90,3.89,47247,0,4266,,,9.09,97.109,,0.049,12.054,,0.624,0.235,,B,FP
"   336 Lacadiera (A892 SA)",2.252,0.0956,5.65,235.00,31.01,2.036,2.47,3.38,47228,0,4001,,,9.82,63.356,,0.054,13.6958,,0.733,0.273,,Xk,D
"   337 Devosa (A892 SB)",2.383,0.1362,7.86,355.34,99.43,2.059,2.71,3.68,47222,0,2861,,,8.81,64.549,,0.135,4.653,,0.731,0.290,,X,X
"   338 Budrosa (A892 SF)",2.913,0.0188,6.04,287.33,108.53,2.858,2.97,4.97,47222,0,3217,,,8.53,50.506,,0.276,4.6084,,0.704,0.247,,Xk,M
"   339 Dorothea (A892 SC)",3.01,0.0986,9.97,173.49,164.68,2.713,3.31,5.22,47104,0,3851,,,9.43,44.329,,0.198,5.974,,0.783,0.405,,K,S
"   342 Endymion (A892 UA)",2.568,0.1299,7.35,232.65,225.00,2.235,2.90,4.12,47198,0,3400,,,10.26,64.266,,0.035,6.319,,0.712,0.356,,Ch,C
"   345 Tercidina (A892 WB)",2.325,0.0618,9.74,212.59,231.15,2.181,2.47,3.55,47184,0,3238,,,8.93,90.243,,0.052,12.371,,0.729,0.411,,Ch,C
"   346 Hermentaria (A892 WC)",2.795,0.1027,8.75,91.93,291.91,2.507,3.08,4.67,47051,0,2823,,,7.36,86.447,,0.332,28.523,,0.843,0.485,,S,S
"   348 May (A892 WE)",2.97,0.0711,9.76,89.91,13.59,2.759,3.18,5.12,47158,0,3958,,,9.44,82.82,,0.0448,7.3812,,,,,X,
"   349 Dembowska (A892 XB)",2.926,0.0905,8.25,32.20,344.48,2.661,3.19,5.01,47104,0,2898,,,5.92,139.77,,0.3840,4.701,,0.945,0.540,,R,R
"   352 Gisela (A893 AB)",2.195,0.1498,3.38,247.24,144.40,1.866,2.52,3.25,47075,0,3432,,,10.16,26.744,,0.195,7.49,,0.904,0.539,,Sl,S
"   353 Ruperto-Carola (A893 BB)",2.734,0.3279,5.71,102.47,321.27,1.837,3.63,4.52,47005,0,4177,,,10.99,14.025,,0.392,2.73898,,,,,S,
"   354 Eleonora (A893 BC)",2.803,0.1121,18.40,140.35,6.39,2.489,3.12,4.69,47082,0,3077,,,6.34,148.970,,0.201,4.277,,0.949,0.601,,Sl,S
"   355 Gabriella (A893 BD)",2.537,0.1057,4.29,351.65,107.14,2.269,2.81,4.04,47103,0,3551,,,10.22,24.040,,0.341,4.83,,,,,S,
"   358 Apollonia (A893 EC)",2.875,0.1531,3.55,172.15,252.78,2.435,3.32,4.87,46959,0,4079,,,9.20,90.116,,0.050,50.6,,,,,Ch,
"   359 Georgia (A893 ED)",2.728,0.1570,6.77,6.00,337.85,2.299,3.16,4.5,47057,0,3258,,,9.32,43.89,,0.2621,5.537,,0.723,0.303,,X,CX
"   360 Carlova (A893 EE)",3.003,0.1734,11.74,132.20,289.86,2.482,3.52,5.2,47054,0,3865,,,8.57,129.125,,0.043,6.183,,0.692,0.269,,C,C
"   363 Padua (A893 FD)",2.746,0.0719,5.95,64.73,296.32,2.549,2.94,4.55,10910,0,4354,,,9.06,97,,0.059,8.401,,0.751,0.375,,X,XC
"   365 Corduba (A893 FF)",2.804,0.1571,12.79,185.15,215.71,2.363,3.24,4.69,47002,0,3884,,,9.26,86.773,,0.050,12.705,,0.714,0.331,,C,X
"   366 Vincentina (A893 FG)",3.144,0.0566,10.58,346.70,333.58,2.966,3.32,5.57,47059,0,3797,,,8.68,86.368,,0.091,12.7365,,,,,Ch,
"   371 Bohemia (A893 OA)",2.727,0.0635,7.40,283.39,342.16,2.554,2.90,4.5,46926,0,3433,,,8.74,52.976,,0.234,10.7391,,0.822,0.511,,S,QSV
"   372 Palma (A893 QB)",3.163,0.2546,23.83,327.29,115.23,2.357,3.97,5.62,46868,0,2952,,,7.45,173.642,,0.059,8.567,,,,,B,BFC
"   374 Burgundia (A893 SA)",2.779,0.0790,8.99,218.99,25.77,2.559,3.00,4.63,43008,0,3629,,,8.80,44.67,,0.3014,6.9624,,0.847,0.448,,S,S
"   375 Ursula (A893 SB)",3.125,0.1036,15.95,336.41,341.44,2.801,3.45,5.52,46848,0,3889,,,7.54,216,,0.037,16.899,,0.683,0.341,,Xc,C
"   376 Geometria (A893 SC)",2.288,0.1727,5.43,301.97,316.76,1.893,2.68,3.46,44871,0,3535,,,9.53,35.465,,0.321,7.74,,0.891,0.476,,Sl,S
"   377 Campania (A893 SD)",2.69,0.0754,6.68,209.94,196.08,2.487,2.89,4.41,46848,0,3668,,,9.05,90.346,,0.060,11.664,,0.730,0.305,,Ch,PD
"   378 Holmia (A893 XA)",2.776,0.1308,7.01,232.43,157.26,2.413,3.14,4.62,46664,0,3517,,,9.87,27.831,,0.339,4.45,,0.874,0.424,,S,S
"   379 Huenna (A894 AA)",3.143,0.1799,1.67,171.86,180.72,2.577,3.71,5.57,46751,0,4742,,,8.99,84.787,,0.046,14.141,,0.672,0.287,,C,B
"   381 Myrrha (A894 AC)",3.223,0.0899,12.56,125.07,144.02,2.933,3.51,5.79,46765,0,3711,,,8.42,127.639,,0.064,6.572,,0.683,0.300,,Cb,C
"   383 Janina (A894 BC)",3.14,0.1681,2.66,92.78,324.56,2.612,3.67,5.56,46731,0,4168,,,9.93,43.482,,0.040,6.4298,,0.682,0.352,,B,B
"   384 Burdigala (A894 CA)",2.655,0.1464,5.59,47.71,34.64,2.266,3.04,4.33,44771,0,3521,,,9.46,34.435,,0.192,404.9,,0.846,0.419,,S,S
"   386 Siegena (A894 EB)",2.899,0.1690,20.22,166.64,220.78,2.409,3.39,4.94,46696,0,3838,,,7.69,165.01,,0.0692,9.763,,0.723,0.407,,C,C
"   387 Aquitania (A894 EC)",2.74,0.2349,18.12,128.22,157.45,2.097,3.38,4.54,46716,0,3302,,,7.56,100.51,,0.1900,24.144,,0.881,0.449,,L,S
"   388 Charybdis (A894 ED)",3.007,0.0663,6.45,354.20,330.44,2.807,3.21,5.21,46689,0,3481,,,8.70,125.754,,0.042,9.516,,0.719,0.280,,C,C
"   389 Industria (A894 EE)",2.608,0.0665,8.12,282.28,265.07,2.434,2.78,4.21,46624,0,3770,,,7.84,74.378,,0.225,8.4973,,0.855,0.420,,S,S
"   392 Wilhelmina (A894 VD)",2.884,0.1391,14.32,209.66,173.45,2.483,3.29,4.9,46436,0,3577,,,9.79,60.750,,0.173,13.058,,,,,Ch,
"   393 Lampetia (A894 VC)",2.781,0.3302,14.87,212.40,90.82,1.862,3.70,4.64,43212,0,3239,1,0,8.40,116.191,,0.022,38.455,,0.740,0.324,,Xc,C
"   394 Arduina (A894 WB)",2.762,0.2275,6.22,66.88,271.31,2.133,3.39,4.59,46298,0,3826,,,9.77,29.970,,0.294,16.53,,0.826,0.411,,S,S
"   395 Delia (A894 WC)",2.785,0.0846,3.35,259.26,11.13,2.550,3.02,4.65,43177,0,4017,,,10.49,44.189,,0.033,19.681,,0.726,0.356,,Ch,C
"   396 Aeolia (A894 XA)",2.74,0.1601,2.55,249.90,21.42,2.302,3.18,4.54,35179,0,3408,,,10.12,39.242,,0.126,14.353,,,,,Xe,
"   397 Vienna (A894 YA)",2.634,0.2482,12.87,227.91,140.07,1.980,3.29,4.27,44920,0,3486,,,9.43,49.032,,0.139,15.48,,0.823,0.362,,K,S
"   398 Admete (A894 YB)",2.738,0.2237,9.55,279.82,160.54,2.126,3.35,4.53,46398,0,3106,,,10.43,49.771,,0.054,20.998,,,,,C,
"   399 Persephone (A895 DD)",3.05,0.0763,13.12,346.20,192.98,2.817,3.28,5.33,46339,0,4117,,,9.02,39.566,,0.311,9.136,,,,,X,
"   402 Chloe (A895 FB)",2.559,0.1123,11.83,129.34,17.34,2.272,2.85,4.09,46310,0,4069,,,9.04,55.421,,0.164,10.664,,0.808,0.402,,K,S
"   403 Cyane (A895 KA)",2.81,0.0981,9.16,244.34,254.52,2.534,3.09,4.71,46276,0,3499,,,8.97,53.574,,0.173,12.283,,,,,S,S
"   404 Arsinoe (A895 MA)",2.593,0.2003,14.09,92.51,120.66,2.074,3.11,4.18,44786,0,3343,,,9.22,94.970,,0.037,8.887,,0.675,0.333,,Ch,C
"   405 Thia (A895 OB)",2.584,0.2434,11.94,255.20,308.72,1.955,3.21,4.15,44762,0,3337,,,8.59,108.894,,0.018,9.95,,0.698,0.388,,Ch,C
"   409 Aspasia (A895 XC)",2.575,0.0719,11.27,242.14,353.57,2.390,2.76,4.13,45924,0,3452,,,7.61,171.012,,0.054,9.022,,0.719,0.323,,Xc,CX
"   410 Chloris (A896 AC)",2.724,0.2414,10.96,96.94,172.82,2.067,3.38,4.5,42276,0,3350,,,8.33,118.929,,0.043,32.5,,0.748,0.394,,Ch,C
"   412 Elisabetha (A896 AB)",2.762,0.0419,13.77,106.44,91.86,2.646,2.88,4.59,44960,0,3708,,,9.16,96.056,,0.044,19.635,,,,,C,
"   413 Edburga (A896 AA)",2.585,0.3416,18.72,103.70,252.88,1.702,3.47,4.16,38340,0,3550,,,10.00,34.242,,0.129,15.773,,0.680,0.220,,X,M
"   414 Liriope (A896 BB)",3.507,0.0732,9.56,110.56,318.42,3.251,3.76,6.57,41726,0,3879,,,9.59,88.760,,0.027,11.005,,0.750,0.384,,Cg,C
"   416 Vaticana (A896 JA)",2.792,0.2176,12.86,58.06,198.29,2.184,3.40,4.66,45924,0,3936,,,7.71,85.47,,0.1689,5.372,,0.892,0.459,,Sl,S
"   417 Suevia (A896 JB)",2.8,0.1356,6.65,199.49,348.57,2.420,3.18,4.69,45899,0,4231,,,9.56,54.874,,0.072,7.034,,0.755,0.357,,Xk,X
"   423 Diotima (A896 XA)",3.069,0.0351,11.24,69.37,199.40,2.962,3.18,5.38,44813,0,3780,,,7.33,175.859,,0.067,4.775,,0.668,0.308,,C,C
"   425 Cornelia (A896 YC)",2.886,0.0589,4.05,61.05,121.97,2.716,3.06,4.9,44179,0,4104,,,9.79,67.925,,0.042,17.505,,,,,C,
"   431 Nephele (A897 YB)",3.14,0.1706,1.83,117.19,217.20,2.604,3.68,5.56,43583,0,3984,,,8.93,101.900,,0.055,13.53,,0.643,0.334,,B,B
"   432 Pythia (A897 YC)",2.369,0.1462,12.12,88.74,173.87,2.022,2.72,3.65,44306,0,3103,,,8.93,46.90,,0.2338,8.252,,0.870,0.440,,S,S
"   434 Hungaria (A898 RB)",1.944,0.0735,22.51,175.30,123.92,1.802,2.09,2.71,45047,0,3581,,,11.19,8.934,,0.726,26.521,,0.717,0.247,,Xe,E
"   441 Bathilde (A898 XA)",2.807,0.0812,8.16,253.52,202.95,2.579,3.03,4.7,44954,0,3983,,,8.60,65.131,,0.204,10.446,,0.701,0.250,,Xk,M
"   442 Eichsfeldia (A899 CA)",2.345,0.0703,6.07,134.89,84.56,2.180,2.51,3.59,47199,0,3822,,,9.99,62.171,,0.044,11.871,,0.692,0.331,,Ch,C
"   443 Photographica (A899 DA)",2.215,0.0405,4.24,175.41,348.68,2.125,2.30,3.3,44752,0,3660,,,10.16,25.504,,0.210,19.795,,0.902,0.479,,Sl,S
"   444 Gyptis (A899 FA)",2.77,0.1743,10.27,195.61,154.56,2.287,3.25,4.61,44836,0,3360,,,8.01,159.331,,0.051,6.214,,0.676,0.293,,C,C
"   446 Aeternitas (A899 UB)",2.788,0.1256,10.62,42.03,279.06,2.438,3.14,4.65,44633,0,4368,,,8.79,53.562,,0.317,15.7413,,1.026,0.615,,A,A
"   453 Tea (A900 DD)",2.183,0.1095,5.55,11.67,220.43,1.944,2.42,3.22,44517,0,3536,,,10.59,23.985,,0.137,6.812,,,,,S,S
"   456 Abnoba (A900 LA)",2.789,0.1789,14.44,229.17,7.17,2.290,3.29,4.66,10915,0,3455,,,9.18,37.713,,0.286,18.281,,,,,S,
"   458 Hercynia (A900 SD)",2.994,0.2424,12.65,134.13,277.15,2.268,3.72,5.18,44329,0,3343,,,9.70,36.698,,0.191,21.806,,0.885,0.471,,L,S
"   460 Scania (A900 UF)",2.717,0.1045,4.64,205.08,161.49,2.433,3.00,4.48,44273,0,3379,,,10.82,19.689,,0.262,164.1,,,,,K,
"   462 Eriphyla (A900 UJ)",2.876,0.0887,3.19,105.26,250.07,2.621,3.13,4.88,44248,0,3708,,,9.38,34.274,,0.259,8.659,,0.834,0.421,,S,S
"   464 Megaira (A901 AB)",2.801,0.2050,10.16,102.34,257.86,2.227,3.38,4.69,44197,0,3667,,,9.77,77.056,,0.045,12.879,,0.638,,,C,FXU:
"   470 Kilia (A901 HC)",2.406,0.0947,7.23,173.20,47.81,2.178,2.63,3.73,44071,0,4010,,,10.07,27.750,,0.148,296.2,,0.886,0.466,,S,S
"   471 Papagena (A901 LA)",2.89,0.2287,15.01,83.80,315.63,2.229,3.55,4.91,44067,0,3233,,,6.68,148.128,,0.164,7.113,,0.828,0.473,,S,S
"   476 Hedwig (A901 QB)",2.65,0.0730,10.93,286.34,1.40,2.457,2.84,4.31,43902,0,3085,,,8.65,138.493,,0.035,27.33,,0.716,0.375,,X,P
"   477 Italia (A901 QC)",2.415,0.1883,5.29,10.64,322.52,1.961,2.87,3.75,43957,0,3729,,,10.30,22.988,,0.246,19.413,,0.884,0.469,,S,S
"   478 Tergeste (A901 SC)",3.021,0.0806,13.16,233.50,242.21,2.778,3.26,5.25,43935,0,3402,,,8.01,80.738,,0.174,16.101,,0.850,0.445,,L,S
"   479 Caprera (A901 VK)",2.721,0.2189,8.68,136.03,269.49,2.125,3.32,4.49,43823,0,3473,,,9.79,60.088,,0.071,9.454,,,,,C,
"   481 Emita (A902 CB)",2.739,0.1579,9.85,66.73,349.42,2.306,3.17,4.53,43669,0,4515,,,8.84,101.829,,0.032,14.412,,,,,Ch,C
"   484 Pittsburghia (A902 HA)",2.667,0.0579,12.52,127.25,189.55,2.512,2.82,4.35,43722,0,3504,,,9.79,30.060,,0.222,10.63,,0.850,,,S,
"   485 Genua (A902 JC)",2.748,0.1918,13.87,193.42,272.21,2.221,3.28,4.56,43651,0,3286,,,8.31,63.88,,0.2072,17.59,,0.848,0.427,,S,
"   490 Veritas (A902 RE)",3.172,0.0897,9.29,178.04,193.25,2.887,3.46,5.65,43594,0,3664,,,8.59,118.803,,0.059,7.93,,0.750,0.390,,Ch,C
"   491 Carina (A902 RG)",3.195,0.0864,18.87,175.36,231.63,2.919,3.47,5.71,43564,0,3678,,,9.08,91.176,,0.037,14.836,,,,,C,
"   494 Virtus (A902 TF)",2.984,0.0647,7.08,38.08,215.66,2.791,3.18,5.15,43560,0,4130,,,9.14,100.786,,0.065,5.57,,0.728,0.373,,Ch,C
"   496 Gryphia (A902 UM)",2.198,0.0797,3.79,207.58,258.63,2.023,2.37,3.26,43401,0,3655,,,11.79,14.403,,0.193,1072,,0.861,0.507,,S,S
"   503 Evelyn (A903 BL)",2.722,0.1758,5.01,68.89,41.66,2.244,3.20,4.49,43360,0,3727,,,9.33,81.68,,0.0585,38.78,,0.725,0.315,,Ch,XC
"   504 Cora (A902 NB)",2.723,0.2153,12.90,104.47,248.36,2.137,3.31,4.49,43112,0,3680,,,10.06,30.438,,0.239,7.587,,,,,X,
"   507 Laodica (A903 DC)",3.153,0.1013,9.50,293.42,100.43,2.834,3.47,5.6,41941,0,3212,,,9.23,45.170,,0.198,4.706,,,,,X,
"   509 Iolanda (A903 HD)",3.061,0.0964,15.41,217.52,157.46,2.766,3.36,5.36,43248,0,3608,,,8.45,51.892,,0.253,12.306,,0.827,0.410,,S,S
"   511 Davida (A903 KB)",3.162,0.1884,15.94,107.59,337.16,2.567,3.76,5.62,43189,0,3435,,,6.43,270.327,,0.076,5.1297,,0.717,0.363,,C,C
"   513 Centesima (A916 BC)",3.013,0.0847,9.73,184.43,225.78,2.758,3.27,5.23,43260,0,3878,,,9.49,48.805,,0.089,5.23,,0.807,0.425,,K,S
"   515 Athalia (A903 SH)",3.122,0.1762,2.04,121.09,300.27,2.572,3.67,5.52,43235,0,3535,,,10.88,41.190,,0.039,10.636,,0.875,0.415,,Cb,I
"   516 Amherstia (A903 SG)",2.681,0.2734,12.96,328.79,258.14,1.948,3.41,4.39,43152,0,3064,,,8.28,65.144,,0.202,7.4842,,0.736,0.265,,X,M
"   519 Sylvania (A903 UJ)",2.792,0.1831,11.01,44.69,302.76,2.281,3.30,4.67,43182,0,3645,,,8.98,40.078,,0.246,17.962,,0.833,0.357,,S,S
"   521 Brixia (A904 AE)",2.743,0.2783,10.58,89.61,316.03,1.980,3.51,4.54,43124,0,3078,,,8.53,107.227,,0.073,28.479,,0.712,0.341,,Ch,C
"   523 Ada (A904 BA)",2.967,0.1790,4.31,260.61,189.93,2.436,3.50,5.11,43543,0,3451,,,9.92,31.89,,0.2512,10.03,,,,,X,
"   527 Euryanthe (A904 FC)",2.725,0.1509,9.66,120.50,204.14,2.314,3.14,4.5,42920,0,3809,,,10.47,52.627,,0.039,42.75,,,,,Cb,
"   531 Zerlina (A904 GC)",2.786,0.1978,34.01,197.67,58.00,2.235,3.34,4.65,43002,0,3025,,,12.12,17.804,,0.101,16.706,,,,,B,
"   532 Herculina (A904 HE)",2.771,0.1788,16.30,107.45,76.63,2.276,3.27,4.61,43020,0,3919,,,5.91,167.791,,0.285,9.405,,0.857,0.429,,S,S
"   533 Sara (A904 HC)",2.981,0.0445,6.56,180.30,32.39,2.848,3.11,5.15,43890,0,3662,,,9.71,30.819,,0.252,11.654,,0.871,0.386,,S,S
